250
(-0.503999, 0.233035, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.495999, 0.325175, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.487999, 0.414321, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.479999, 0.499652, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.471999, 0.580381, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.463999, 0.655766, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.455999, 0.725112, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.447999, 0.787780, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.439999, 0.843194, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.431999, 0.890842, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.423999, 0.930287, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.415999, 0.961166, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.407999, 0.983193, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.399999, 0.996165, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.391999, 0.999965, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.383999, 0.994555, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.375999, 0.979987, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.367999, 0.956395, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.359999, 0.923995, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.351999, 0.883086, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.343999, 0.834044, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.335999, 0.777323, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.327999, 0.713443, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.319999, 0.642992, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.311999, 0.566621, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.303999, 0.485032, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.295999, 0.398976, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.287999, 0.309246, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.279999, 0.216668, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.271999, 0.122095, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.263999, 0.026397, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.255999, -0.069544, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.247999, -0.164844, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.239999, -0.258626, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.231999, -0.350027, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.223999, -0.438204, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.215999, -0.522346, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.207999, -0.601678, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.199999, -0.675468, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.191999, -0.743039, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.183999, -0.803767, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.175999, -0.857093, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.167999, -0.902526, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.159999, -0.939648, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.151999, -0.968117, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.143999, -0.987670, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.135999, -0.998128, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.127999, -0.999394, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.119999, -0.991457, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
